t,E,Ux,U0,Ug,Pg,Uk,Pk,TQ,Rs,RX_h1,Tsvp,Tgaz,T_combined,original_t,global_time,file_index,file_name
5.151,0.0,-0.00706871,-0.0423826,7.72,771.571,7.6373,763.661,-3.5511185588604947e-07,19.905587163128263,19.90558716312826,4.227193407803078,297.64979490339994,297.64979490339994,5.151,0.0,1,1155.dat
6.868,0.0,-0.00707447,-0.0423929,7.7201,771.575,7.6372,763.655,-3.5519815668202763e-07,19.9169670982641,19.916967098264095,4.227185043981476,297.6543535109341,297.6543535109341,6.868,1.7170000000000005,1,1155.dat
8.586,0.0,-0.0070723,-0.0424042,7.72,771.571,7.6372,763.657,-3.5529283619606205e-07,19.905551926460113,19.905551926460113,4.2271878319269796,297.64979490339994,297.64979490339994,8.586,3.4350000000000005,1,1155.dat
10.304,0.0,-0.00707485,-0.0424003,7.7201,771.579,7.6372,763.66,-3.552601591956431e-07,19.91456068707061,19.914560687070612,4.227192013835918,297.65891221083604,297.65891221083604,10.304,5.1530000000000005,1,1155.dat
12.021,0.0,-0.00707438,-0.0423791,7.7201,771.577,7.6373,763.662,-3.55082530372853e-07,19.92319924207923,19.92319924207923,4.227194801768999,297.6566328493389,297.6566328493389,12.021,6.870000000000001,1,1155.dat
13.738,0.0,-0.00707409,-0.0423954,7.7201,771.579,7.6372,763.66,-3.55219103477168e-07,19.914722859083767,19.914722859083767,4.227192013835918,297.65891221083604,297.65891221083604,13.738,8.587,1,1155.dat
15.456,0.0,-0.00707494,-0.0423932,7.7202,771.587,7.6373,763.661,-3.552006702974445e-07,19.918149349423967,19.918149349423963,4.227193407803078,297.6680298877554,297.6680298877554,15.456,10.305,1,1155.dat
17.174,0.0,-0.00707731,-0.042393,7.7202,771.59,7.6372,763.66,-3.5519899455383324e-07,19.924915634656664,19.924915634656667,4.227192013835918,297.6714491118621,297.6714491118621,17.174,12.023,1,1155.dat
18.891,0.0,-0.00707353,-0.042385,7.7202,771.59,7.6373,763.663,-3.551319648093842e-07,19.918032452518577,19.918032452518577,4.227196195733677,297.6714491118621,297.6714491118621,18.891,13.739999999999998,1,1155.dat
20.611,0.0,-0.00707532,-0.0423936,7.7202,771.589,7.6373,763.664,-3.552040217846669e-07,19.919031221693842,19.919031221693842,4.227197589697111,297.6703093647196,297.6703093647196,20.611,15.46,1,1155.dat
