number of elements,time1,time2,time3,time4
60000,0.0337328,0.0352886,0.0342646,0.0334254
60500,0.0337607,0.0373402,0.0342132,0.0367546
61000,0.0345898,0.0344492,0.0363532,0.0412044
61500,0.0358117,0.0344304,0.0345869,0.0352179
62000,0.0354012,0.035075,0.0393191,0.0352354
62500,0.0353961,0.0347895,0.0352052,0.0353049
63000,0.0355054,0.0447983,0.0377478,0.0353065
63500,0.0403345,0.0387184,0.0379683,0.0354768
64000,0.0365406,0.0355918,0.0359987,0.0461451
64500,0.0392637,0.035941,0.0368493,0.0389774
65000,0.0392579,0.0402496,0.0376097,0.0392615
65500,0.0393967,0.0394378,0.0393175,0.0363988
66000,0.0382185,0.0420951,0.0362225,0.0363919
66500,0.0401225,0.0371855,0.0390906,0.0404955
67000,0.0417923,0.0371412,0.0369872,0.0476872
67500,0.0372316,0.0373184,0.0375038,0.0432281
68000,0.0428382,0.0408063,0.0378449,0.0379798
68500,0.0402036,0.0469149,0.0377644,0.0409044
69000,0.0395184,0.0394453,0.0405779,0.0419049
69500,0.0390932,0.0421198,0.0420746,0.0420692
70000,0.0410249,0.0408462,0.0422233,0.0391409
70500,0.0417608,0.039822,0.03925,0.0403681
71000,0.044899,0.0404483,0.0430858,0.0393227
71500,0.0441289,0.0490775,0.0407168,0.0402733
72000,0.0409565,0.0420912,0.0459983,0.0482957
72500,0.0407071,0.0460009,0.0488652,0.0505194
73000,0.0439046,0.0419178,0.0420164,0.0407876
73500,0.0412109,0.0413966,0.0430776,0.0982759
74000,0.054124,0.0433633,0.0437744,0.0458109
74500,0.0571797,0.0427936,0.0444048,0.0441857
75000,0.0421763,0.0437474,0.0561806,0.0439082
75500,0.0680227,0.0708128,0.0537029,0.0464837
76000,0.045583,0.0424696,0.045445,0.0427586
76500,0.0439687,0.0468639,0.0467125,0.0486138
77000,0.0451419,0.0453389,0.0454152,0.048233
77500,0.0450691,0.047539,0.0467608,0.0474004
78000,0.0468903,0.047833,0.0522119,0.0461572
78500,0.0442151,0.0452062,0.0481386,0.048163
79000,0.0505361,0.0531107,0.0441465,0.0448775
79500,0.0450884,0.0484213,0.0453223,0.0490593
80000,0.045406,0.0458028,0.0453734,0.0453776
80500,0.0582477,0.0464626,0.046792,0.0483522
81000,0.0546689,0.0507584,0.0498409,0.0497997
81500,0.0499568,0.0556031,0.046047,0.0492889
82000,0.0499943,0.0499499,0.0521191,0.0552087
82500,0.0517612,0.0479624,0.0508525,0.0507897
83000,0.0501755,0.0483084,0.0489871,0.0498631
83500,0.0511288,0.0516258,0.051446,0.0507702
84000,0.0513467,0.0521695,0.0525326,0.0559224
84500,0.0480296,0.0483945,0.05125,0.0528817
85000,0.0480023,0.0486173,0.0512488,0.0511141
85500,0.04825,0.0520981,0.0500448,0.0531458
86000,0.051783,0.0512206,0.0524897,0.0486082
86500,0.0515743,0.0537773,0.0582298,0.04891
87000,0.0529862,0.0539753,0.0524697,0.0538919
87500,0.0500954,0.0528798,0.0499705,0.0626299
88000,0.053378,0.0546219,0.0545496,0.0526631
88500,0.0547288,0.0506123,0.0535663,0.0553091
89000,0.0509969,0.0548467,0.0553193,0.055682
89500,0.0559971,0.0550507,0.0556297,0.0585392
90000,0.0607892,0.0519052,0.0516775,0.0540708
90500,0.0560348,0.0537616,0.0564396,0.0553089
91000,0.0520866,0.0526142,0.0531771,0.0520336
91500,0.053201,0.0530442,0.0532948,0.0570195
92000,0.05585,0.0558754,0.0549356,0.0564561
92500,0.0555932,0.0577417,0.0579782,0.0595546
93000,0.0549826,0.0590381,0.0583193,0.0581363
93500,0.0557036,0.057132,0.0537453,0.0555504
94000,0.0588715,0.0600548,0.0561046,0.056801
94500,0.0581085,0.0591042,0.0591373,0.0580036
95000,0.0559376,0.0594942,0.0559618,0.0642906
95500,0.0573829,0.057654,0.067282,0.0593654
96000,0.0587858,0.0602122,0.0603215,0.0602608
96500,0.0581744,0.056569,0.0605296,0.0607229
97000,0.0724961,0.0624266,0.0612512,0.0562113
97500,0.0597932,0.0592363,0.0566175,0.0590183
98000,0.0615794,0.0616724,0.0614279,0.0614349
98500,0.0619293,0.0620777,0.0590975,0.0701549
99000,0.0580372,0.0624792,0.0624639,0.0593566
99500,0.0622843,0.063691,0.0576086,0.0615539
100000,0.0627622,0.0644528,0.0582062,0.060268
