number of elements,time1,time2,time3,time4
60000,0.0405508,0.038971,0.0471841,0.0379599
60500,0.0382827,0.0434165,0.0378573,0.0436521
61000,0.0381301,0.0384622,0.0382279,0.0417148
61500,0.0385757,0.0413593,0.0464385,0.045549
62000,0.0388105,0.0388533,0.0418586,0.0389746
62500,0.0416141,0.0391452,0.0392591,0.0392741
63000,0.0395731,0.0395217,0.0412048,0.0426839
63500,0.0424013,0.0410717,0.0427523,0.0398809
64000,0.0489103,0.0470534,0.0444438,0.0401523
64500,0.0404803,0.0448362,0.0450612,0.0404741
65000,0.0433473,0.0459781,0.0454725,0.0491097
65500,0.0468222,0.0495239,0.0446073,0.0421588
66000,0.0415765,0.0446781,0.0414987,0.0416041
66500,0.0458477,0.0471727,0.0418892,0.0459639
67000,0.0451251,0.0423728,0.0423515,0.0425031
67500,0.0426662,0.0427565,0.0430129,0.0428657
68000,0.0429104,0.0430958,0.0517546,0.0456948
68500,0.0433457,0.0433876,0.0435209,0.04371
69000,0.0436544,0.0437255,0.044724,0.0464176
69500,0.0440948,0.0464241,0.0439114,0.0485455
70000,0.0518293,0.0442655,0.052799,0.0484657
70500,0.0494109,0.0446835,0.0447169,0.0448089
71000,0.0473663,0.04981,0.0476929,0.0455206
71500,0.0454352,0.0481424,0.048087,0.0478676
72000,0.0509749,0.0458098,0.0463164,0.0586222
72500,0.0472743,0.04607,0.0461619,0.0462126
73000,0.0587326,0.0539319,0.0466817,0.0463908
73500,0.0492342,0.0564776,0.0577637,0.0479761
74000,0.056133,0.0495519,0.0491747,0.0478111
74500,0.0484627,0.0475737,0.0475289,0.0475389
75000,0.0477976,0.0478535,0.047799,0.048126
75500,0.0502879,0.0494593,0.0483458,0.0481985
76000,0.056587,0.0587718,0.0490311,0.0514938
76500,0.0489616,0.0488562,0.0489403,0.0525813
77000,0.0506244,0.0493079,0.0492843,0.0611338
77500,0.0496229,0.0495327,0.0497898,0.0538555
78000,0.0527223,0.0499189,0.0499836,0.0499939
78500,0.0507413,0.0503388,0.0504928,0.0502869
79000,0.050608,0.050787,0.0506317,0.0506519
79500,0.0510162,0.0509491,0.0509608,0.0542156
80000,0.0583765,0.0537464,0.0514053,0.0633489
80500,0.0537063,0.0516764,0.0528398,0.0552751
81000,0.0521462,0.0520319,0.052031,0.057776
81500,0.05267,0.0524698,0.0524155,0.0584579
82000,0.057796,0.0526849,0.0559423,0.0646054
82500,0.0577857,0.0610079,0.058165,0.0593899
83000,0.0550446,0.0557999,0.053458,0.0534343
83500,0.0540348,0.0537669,0.0559789,0.0564763
84000,0.0542046,0.054115,0.0564188,0.0580008
84500,0.0549149,0.0596925,0.0606589,0.0583445
85000,0.0558235,0.0548527,0.0549242,0.0549823
85500,0.0552183,0.0552735,0.055189,0.0552628
86000,0.0577414,0.0668568,0.0556017,0.0555317
86500,0.0559806,0.0560262,0.0559831,0.0559271
87000,0.0562691,0.0597063,0.0563689,0.0607726
87500,0.0568852,0.056633,0.0569004,0.0704617
88000,0.0570251,0.0571567,0.0571362,0.0569784
88500,0.0572946,0.0575776,0.060563,0.0594969
89000,0.0600053,0.0584804,0.0612531,0.0606004
89500,0.0581447,0.0581399,0.0585192,0.0580867
90000,0.0616672,0.0606551,0.0608819,0.0590502
90500,0.0636528,0.0644228,0.0617015,0.0629991
91000,0.0590675,0.0600229,0.0614524,0.0615724
91500,0.0594322,0.0598955,0.0617536,0.0616693
92000,0.0598876,0.0622397,0.0621743,0.0646944
92500,0.0639414,0.0603394,0.060317,0.0601414
93000,0.0605306,0.0613564,0.0605625,0.0605905
93500,0.0608377,0.0638752,0.061227,0.0697047
94000,0.0651673,0.0633106,0.0657391,0.0634191
94500,0.0641561,0.061655,0.0616627,0.0616745
95000,0.0634247,0.0620358,0.0656367,0.0650713
95500,0.0640551,0.0645154,0.0646741,0.0646574
96000,0.0648395,0.0626098,0.0627715,0.0628847
96500,0.0654482,0.0655146,0.0632268,0.0637905
97000,0.0633166,0.063418,0.0634211,0.0648953
97500,0.0638372,0.0639185,0.0636291,0.0743607
98000,0.0693362,0.0673101,0.0680157,0.0641096
98500,0.0644225,0.0660075,0.0666934,0.0691144
99000,0.0647371,0.0648637,0.0648767,0.0727369
99500,0.0739302,0.0699053,0.0650347,0.0653872
100000,0.0662379,0.0697951,0.0699126,0.07073
